YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,15.04,94.14,0.0,1.56
2021,1,1,1,16.15,89.92,0.0,1.41
2021,1,1,2,18.47,81.17,0.0,0.87
2021,1,1,3,21.11,70.65,0.0,0.63
2021,1,1,4,22.96,65.7,0.0,0.62
2021,1,1,5,23.83,64.44,0.0,0.68
2021,1,1,6,24.31,64.58,0.0,0.72
2021,1,1,7,24.49,65.44,0.0,0.77
2021,1,1,8,24.39,67.3,0.0,0.79
2021,1,1,9,23.95,71.34,0.0,0.86
2021,1,1,10,22.85,80.98,0.0,0.87
2021,1,1,11,20.93,89.41,0.0,1.5
2021,1,1,12,19.58,93.68,0.0,2.08
2021,1,1,13,18.77,97.32,0.0,2.18
2021,1,1,14,18.12,100.0,0.0,2.23
2021,1,1,15,17.48,100.0,0.0,2.23
2021,1,1,16,16.88,100.0,0.0,2.01
2021,1,1,17,16.7,100.0,0.0,1.79
2021,1,1,18,16.52,100.0,0.0,1.82
2021,1,1,19,16.2,100.0,0.0,1.88
2021,1,1,20,15.87,100.0,0.0,1.88
2021,1,1,21,15.51,100.0,0.0,1.85
2021,1,1,22,15.15,100.0,0.0,1.82
2021,1,1,23,14.8,99.07,0.0,1.77
2021,1,2,0,14.58,96.99,0.0,1.69
2021,1,2,1,15.72,91.65,0.0,1.42
2021,1,2,2,18.09,79.45,0.0,0.8
2021,1,2,3,20.62,71.18,0.0,0.68
2021,1,2,4,22.42,66.3,0.0,0.52
2021,1,2,5,23.34,63.13,0.0,0.56
2021,1,2,6,23.81,62.01,0.0,0.67
2021,1,2,7,23.89,62.73,0.0,0.79
2021,1,2,8,23.67,64.68,0.0,0.9
2021,1,2,9,23.09,70.12,0.0,1.01
2021,1,2,10,21.86,81.27,0.0,1.02
2021,1,2,11,19.9,90.4,0.0,1.35
2021,1,2,12,18.76,95.85,0.0,1.62
2021,1,2,13,18.02,100.0,0.0,1.69
2021,1,2,14,17.54,100.0,0.0,1.57
2021,1,2,15,17.12,100.0,0.0,1.52
2021,1,2,16,16.7,100.0,0.0,1.81
2021,1,2,17,16.32,100.0,0.0,1.89
2021,1,2,18,15.95,100.0,0.0,1.97
2021,1,2,19,15.48,100.0,0.0,2.08
2021,1,2,20,15.0,100.0,0.0,2.2
2021,1,2,21,14.53,100.0,0.0,2.28
2021,1,2,22,14.19,100.0,0.0,2.25
2021,1,2,23,13.92,100.0,0.0,2.27
2021,1,3,0,13.75,100.0,0.0,2.18
2021,1,3,1,15.12,94.86,0.0,1.65
2021,1,3,2,17.63,82.16,0.0,1.06
2021,1,3,3,20.06,72.97,0.0,1.03
2021,1,3,4,21.85,67.74,0.0,0.95
2021,1,3,5,23.13,64.45,0.0,0.78
2021,1,3,6,23.97,62.31,0.0,0.67
2021,1,3,7,24.4,61.71,0.0,0.68
2021,1,3,8,24.42,62.9,0.0,0.76
2021,1,3,9,23.98,67.55,0.0,0.9
2021,1,3,10,22.59,79.11,0.0,0.98
2021,1,3,11,20.42,88.48,0.0,1.34
2021,1,3,12,19.18,93.33,0.0,1.53
2021,1,3,13,18.56,96.54,0.0,1.6
2021,1,3,14,18.04,99.46,0.0,1.57
2021,1,3,15,17.54,100.0,0.0,1.65
2021,1,3,16,16.97,100.0,0.0,1.87
2021,1,3,17,16.51,100.0,0.0,1.91
2021,1,3,18,16.07,100.0,0.0,1.99
2021,1,3,19,15.64,100.0,0.0,2.08
2021,1,3,20,15.28,100.0,0.0,2.15
2021,1,3,21,15.04,100.0,0.0,2.16
2021,1,3,22,14.87,100.0,0.0,2.15
2021,1,3,23,14.71,100.0,0.0,2.12
2021,1,4,0,14.64,97.57,0.0,2.05
2021,1,4,1,15.85,92.3,0.0,1.61
2021,1,4,2,18.56,80.58,0.0,0.94
2021,1,4,3,20.95,70.32,0.0,0.72
2021,1,4,4,22.93,65.4,0.0,0.6
2021,1,4,5,24.36,62.28,0.0,0.46
2021,1,4,6,25.15,61.83,0.0,0.52
2021,1,4,7,25.64,61.78,0.0,0.63
2021,1,4,8,25.67,63.47,0.0,0.75
2021,1,4,9,25.26,67.49,0.0,0.85
2021,1,4,10,23.85,79.08,0.0,0.92
2021,1,4,11,21.55,88.88,0.0,1.34
2021,1,4,12,20.24,93.4,0.0,1.57
2021,1,4,13,19.59,96.6,0.0,1.61
2021,1,4,14,19.02,99.84,0.0,1.62
2021,1,4,15,18.46,100.0,0.0,1.78
2021,1,4,16,18.06,100.0,0.0,1.83
2021,1,4,17,17.81,100.0,0.0,1.81
2021,1,4,18,17.52,100.0,0.0,1.84
2021,1,4,19,17.04,100.0,0.0,2.01
2021,1,4,20,16.49,100.0,0.0,2.22
2021,1,4,21,15.98,100.0,0.0,2.34
2021,1,4,22,15.67,100.0,0.0,2.33
2021,1,4,23,15.41,100.0,0.0,2.32
2021,1,5,0,15.35,100.0,0.0,2.24
2021,1,5,1,16.79,93.2,0.0,1.7
2021,1,5,2,19.54,80.63,0.0,0.94
2021,1,5,3,21.87,72.17,0.0,0.61
2021,1,5,4,23.7,69.87,0.0,0.52
2021,1,5,5,24.88,66.49,0.0,0.51
2021,1,5,6,25.83,63.4,0.0,0.63
2021,1,5,7,26.12,63.62,0.0,0.81
2021,1,5,8,26.04,65.86,0.0,0.98
2021,1,5,9,25.65,69.66,0.0,1.03
2021,1,5,10,24.41,79.58,0.0,0.98
2021,1,5,11,22.29,90.3,0.0,1.23
2021,1,5,12,20.95,95.36,0.0,1.41
2021,1,5,13,20.21,98.17,0.0,1.44
2021,1,5,14,19.6,100.0,0.0,1.43
2021,1,5,15,19.02,100.0,0.0,1.76
2021,1,5,16,18.42,100.0,0.0,1.86
2021,1,5,17,17.91,100.0,0.0,1.97
2021,1,5,18,17.44,100.0,0.0,1.89
2021,1,5,19,17.42,100.0,0.0,1.79
2021,1,5,20,17.25,100.0,0.0,1.83
2021,1,5,21,17.01,100.0,0.0,1.75
2021,1,5,22,16.79,97.89,0.0,1.66
2021,1,5,23,16.57,95.77,0.0,1.57
2021,1,6,0,16.33,93.96,0.0,1.48
2021,1,6,1,17.3,90.1,0.0,1.31
2021,1,6,2,19.51,79.39,0.0,0.79
2021,1,6,3,21.84,70.49,0.0,0.71
2021,1,6,4,23.59,66.07,0.0,0.7
2021,1,6,5,24.53,63.46,0.0,0.63
2021,1,6,6,25.04,64.08,0.0,0.65
2021,1,6,7,25.35,63.63,0.0,0.68
2021,1,6,8,25.43,65.72,0.0,0.71
2021,1,6,9,25.11,69.25,0.0,0.77
2021,1,6,10,23.97,78.44,0.0,0.87
2021,1,6,11,21.74,88.43,0.0,1.36
2021,1,6,12,20.35,93.01,0.0,1.69
2021,1,6,13,19.62,95.78,0.0,1.8
2021,1,6,14,19.0,98.73,0.0,1.83
2021,1,6,15,18.51,100.0,0.0,1.74
2021,1,6,16,18.11,100.0,0.0,1.66
2021,1,6,17,17.73,100.0,0.0,1.62
2021,1,6,18,17.31,100.0,0.0,1.64
2021,1,6,19,16.95,100.0,0.0,1.83
2021,1,6,20,16.57,100.0,0.0,2.1
2021,1,6,21,16.23,100.0,0.0,2.16
2021,1,6,22,15.93,100.0,0.0,2.18
2021,1,6,23,15.66,100.0,0.0,2.21
2021,1,7,0,15.52,100.0,0.0,2.18
2021,1,7,1,16.91,93.57,0.0,1.66
2021,1,7,2,19.54,81.14,0.0,0.91
2021,1,7,3,22.1,70.83,0.0,0.89
2021,1,7,4,23.86,64.49,0.0,1.04
2021,1,7,5,24.84,61.65,0.0,1.09
2021,1,7,6,25.46,60.02,0.0,1.17
2021,1,7,7,25.68,60.68,0.0,1.27
2021,1,7,8,25.6,62.86,0.0,1.37
2021,1,7,9,25.04,68.52,0.0,1.37
2021,1,7,10,23.75,78.18,0.0,1.3
2021,1,7,11,21.97,86.77,0.0,1.45
