fold,variable,model,n,bias,mae,rmse,pearson_r,nse,wet_accuracy,pod,far,csi,frequency_bias,wet_amount_rmse,decay_km
1,PRECTOTCORR,idw_residual,81816,-0.5661246456817564,3.277250404624569,14.747853771711975,0.0753455459153495,-14.47282688538523,0.7867165346631466,0.6005540166204986,0.7706062850492011,0.19902689800789497,2.618005540166205,21.665492559462024,25.0
2,PRECTOTCORR,idw_residual,81576,0.36506000595081683,3.6285714398301656,15.06128668915214,0.16307924328806775,-12.330007338698383,0.7662670393252917,0.6406920600858369,0.7742971887550201,0.20034390202986077,2.8386534334763946,48.09163340924039,25.0
3,PRECTOTCORR,idw_residual,81224,0.5221687231149339,2.7343888529289386,9.286102102611668,0.27321722623600897,-3.305556302953949,0.7480547621392691,0.7546019328117809,0.7364805142627562,0.24271916515560818,2.863552692130695,19.72489959889716,25.0
4,PRECTOTCORR,idw_residual,78968,-0.05562596405921882,3.0747446489637733,10.002128054397486,0.19352936623441508,-5.02174101803646,0.7679439773072637,0.6657209182357493,0.7529552524527399,0.21978115553284797,2.694738199638896,22.463384602856657,25.0
5,PRECTOTCORR,idw_residual,71589,0.201616669362094,4.430868522477447,18.475229185721577,0.12196244592157687,-15.928044130427924,0.7745184316026205,0.6316723549488055,0.7439544020806818,0.2227839568587799,2.4670307167235497,44.6331326048935,25.0
1,PRECTOTCORR,idw_residual,81816,-0.5636039227133494,3.338855025860032,14.186911261609374,0.0813148346040021,-13.31817695307373,0.7886843649163978,0.6011080332409973,0.7685209877860153,0.20065652596051597,2.596814404432133,22.26442518208215,50.0
2,PRECTOTCORR,idw_residual,81576,0.4908216479941874,3.588148580734706,15.342046599254747,0.16598220871545658,-12.83161311948582,0.7701897616946161,0.6507510729613734,0.7688973565134556,0.20560193228526633,2.8158530042918457,49.59661819679735,50.0
3,PRECTOTCORR,idw_residual,81224,0.5423715123941454,2.7982696760834536,9.377353490969034,0.27106145309969765,-3.390590556230676,0.7465281197675564,0.7489645651173493,0.738722106277091,0.2402391320392649,2.8665439484583524,20.33622884362885,50.0
4,PRECTOTCORR,idw_residual,78968,-0.18433729952289818,3.134163359629613,10.167533252256149,0.1831860677864735,-5.222550867865793,0.7755546550501469,0.6609491875161208,0.746538081107814,0.2242986563963412,2.607686355429456,22.446209011198555,50.0
5,PRECTOTCORR,idw_residual,71589,0.3323746830041886,4.344990851492404,17.7386926929925,0.13874489994592762,-14.605235732807742,0.7762365726578105,0.6260750853242321,0.7433113175864771,0.2225673380247513,2.4390443686006824,46.53901555247747,50.0
1,PRECTOTCORR,idw_residual,81816,-0.5273109729717385,3.365915721640603,13.836855323886693,0.08626154847295746,-12.620304627469453,0.7891854893908282,0.6040166204986149,0.7674133333333333,0.2018140589569161,2.596952908587258,22.680119882307448,75.0
2,PRECTOTCORR,idw_residual,81576,0.5454814174848229,3.5657028689809627,15.457038396591708,0.16748690255516643,-13.03973172836154,0.7722124154162989,0.6506169527896996,0.7670923756481659,0.2070157470234285,2.7934549356223175,50.34417527420632,75.0
