fold,variable,model,n,bias,mae,rmse,pearson_r,nse,decay_km
1,RH2M,idw_residual,69835,-0.8956328015741682,5.442907836012197,7.498685946279801,0.9081215863212425,0.8179020461332915,25.0
2,RH2M,idw_residual,70566,3.3076098422484743,8.365647760160474,11.324525349151076,0.823861370695857,0.6281802250714228,25.0
3,RH2M,idw_residual,71853,-0.698129476542653,6.154184142854913,8.388609234176174,0.870620063514418,0.7528507742870064,25.0
4,RH2M,idw_residual,70273,-0.4356034688343096,6.1975617264522995,8.502609831137372,0.8793065141060785,0.7467035051836437,25.0
5,RH2M,idw_residual,69450,-1.308460132317867,6.457222774761853,9.173541171046269,0.8640050902670333,0.7036513595196006,25.0
1,RH2M,idw_residual,69835,-1.0843960146045186,5.4237895979239585,7.423493234942793,0.9102012211574366,0.8215356931063256,50.0
2,RH2M,idw_residual,70566,3.3226791516966356,8.213951529377335,11.084161784617102,0.8313286322343598,0.6437965025121106,50.0
3,RH2M,idw_residual,71853,-0.7258553057007834,6.106121334433378,8.270795364913143,0.8738477499935939,0.7597442019257027,50.0
4,RH2M,idw_residual,70273,-0.4366786272915129,6.192017992371152,8.479783302772278,0.8797585512467616,0.7480617042725994,50.0
5,RH2M,idw_residual,69450,-1.2922082154117005,6.293473544433044,8.873503911281597,0.8708720798872003,0.7227195817165363,50.0
1,RH2M,idw_residual,69835,-1.169297493766128,5.442903743606755,7.430594122837756,0.9102651698013493,0.8211941123738795,75.0
2,RH2M,idw_residual,70566,3.292299963565188,8.141676359656946,10.976235437452761,0.8342335531704355,0.6506994294002155,75.0
3,RH2M,idw_residual,71853,-0.7454856835185535,6.109662168082276,8.253159281545372,0.8743269393978689,0.7607677198751317,75.0
4,RH2M,idw_residual,70273,-0.42083123395239475,6.204988531381948,8.491318755983858,0.8794575511225222,0.7473757907167597,75.0
5,RH2M,idw_residual,69450,-1.2737810894115416,6.2252374090630545,8.743430824164717,0.8737216580372257,0.730789083159644,75.0
1,RH2M,idw_residual,69835,-1.2161243494943033,5.460385943911627,7.444983922417615,0.9100706839324699,0.8205009047483736,100.0
2,RH2M,idw_residual,70566,3.268681432512525,8.1060028389785,10.923260800566736,0.8355646646703586,0.6540629537836569,100.0
3,RH2M,idw_residual,71853,-0.7560779778399349,6.117345709612936,8.25259458153883,0.8743231400781906,0.7608004563930655,100.0
4,RH2M,idw_residual,70273,-0.40871604137631673,6.2164329321248655,8.503281408945018,0.8791589897298048,0.7466634904055824,100.0
5,RH2M,idw_residual,69450,-1.2612080221237045,6.192143088796766,8.678707936316279,0.8750985696323339,0.734759976898093,100.0
1,RH2M,idw_residual,69835,-1.2656255221279398,5.484094003077701,7.468020261926604,0.9096910092056348,0.8193883706115135,150.0
2,RH2M,idw_residual,70566,3.2405761602537746,8.074124629067262,10.876033041838115,0.8366808206792069,0.6570478705711369,150.0
3,RH2M,idw_residual,71853,-0.7663216827421723,6.130954613776093,8.259776333904364,0.8740848399719977,0.7603839523825816,150.0
4,RH2M,idw_residual,70273,-0.39359867917603725,6.231939065060348,8.520411174806329,0.8787366801037712,0.7456417751599975,150.0
5,RH2M,idw_residual,69450,-1.2458986313796527,6.16302844039404,8.618630606100869,0.8763339461852916,0.738419452201666,150.0
1,RH2M,idw_residual,69835,-1.2912722337866696,5.498552211057453,7.483050087934809,0.909424798680175,0.8186606562036951,200.0
2,RH2M,idw_residual,70566,3.2254354234732934,8.061087200502577,10.856037147169294,0.83712256243887,0.6583077657282069,200.0
3,RH2M,idw_residual,71853,-0.7710483325903528,6.140468751528953,8.266982376247748,0.8738547556258865,0.7599656755389823,200.0
4,RH2M,idw_residual,70273,-0.384893692972084,6.241403223663691,8.531172118680331,0.8784729122781989,0.7449988805926316,200.0
5,RH2M,idw_residual,69450,-1.2370300487904335,6.15099921497344,8.591775407364326,0.8768629410963004,0.7400470548842158,200.0
