fold,variable,model,n,bias,mae,rmse,pearson_r,nse,decay_km
1,WS10M,idw_residual,81816,0.08456862055140614,1.3382275981934717,1.9062527956964417,0.516125129677557,0.02624114541597733,25.0
2,WS10M,idw_residual,81816,0.06331195250059893,1.1450249230134537,1.6410330229190122,0.5468259218403972,0.12703883147210293,25.0
3,WS10M,idw_residual,81782,-0.00618115693486217,1.8176179737246048,2.708477983130868,0.31204212077457333,-0.40527227403570465,25.0
4,WS10M,idw_residual,81782,-0.02962028571918763,1.3022040029906596,1.9028382932242645,0.3690135412469725,-0.09737094655559608,25.0
5,WS10M,idw_residual,81328,0.1757851998569892,1.8283573008446292,2.6725039718535,0.2868032715845632,-0.2144870046728926,25.0
1,WS10M,idw_residual,81816,0.14587916484419622,1.2909581777834507,1.8366822063308699,0.5368488026214119,0.09602073334967931,50.0
2,WS10M,idw_residual,81816,0.03504619050996442,1.1142037666701101,1.5901271052993065,0.5604765924032098,0.18035845029032183,50.0
3,WS10M,idw_residual,81782,-0.01447776991586252,1.7550913427279593,2.5772032285414967,0.32699245451548575,-0.2723517514304523,50.0
4,WS10M,idw_residual,81782,-0.08456945382928499,1.2743620779026001,1.859274171852014,0.3776613463407593,-0.04769908617973928,50.0
5,WS10M,idw_residual,81328,0.0764302415449714,1.7295443841135247,2.548454491747274,0.30819907670834656,-0.10435809487259506,50.0
1,WS10M,idw_residual,81816,0.1743383829719408,1.270701346876138,1.8115340261819868,0.5442259660356686,0.12060614966100658,75.0
2,WS10M,idw_residual,81816,0.018829536251365925,1.101552659815593,1.5695861364503674,0.5659269393481781,0.20139763365657481,75.0
3,WS10M,idw_residual,81782,-0.026750334734453558,1.7294590281731987,2.524156091317891,0.333258275648567,-0.22051261900977392,75.0
4,WS10M,idw_residual,81782,-0.10692078134034755,1.2645327552692982,1.8428999392154748,0.3819308122396917,-0.029326618658914283,75.0
5,WS10M,idw_residual,81328,0.026670778046378865,1.680994014684135,2.491623162961393,0.3204450975561445,-0.05565223759554572,75.0
1,WS10M,idw_residual,81816,0.18975284032166004,1.2613066892920233,1.8008488096819275,0.5473410277898563,0.13094964989852642,100.0
2,WS10M,idw_residual,81816,0.009125491941010167,1.0947397786852433,1.5587703536730755,0.5688370156684176,0.21236581135331734,100.0
3,WS10M,idw_residual,81782,-0.03524424325136345,1.716578784469395,2.497548436995738,0.3363929562831309,-0.19491688408219154,100.0
4,WS10M,idw_residual,81782,-0.11864406586861308,1.259776805801546,1.834807251330567,0.3842362820816313,-0.020306346683747423,100.0
5,WS10M,idw_residual,81328,-0.0024081629410892275,1.6528754158487313,2.4600815906936897,0.3281117777870906,-0.029094306893552524,100.0
1,WS10M,idw_residual,81816,0.20550611954775472,1.2534790009882446,1.7924200311652085,0.5497647602870923,0.1390657012462685,150.0
2,WS10M,idw_residual,81816,-0.00171639673235498,1.0876261264895015,1.5477305268239194,0.5718491595212589,0.22348297573861708,150.0
3,WS10M,idw_residual,81782,-0.045364341575632204,1.7039538974457595,2.4717077448529206,0.3393935947079963,-0.17031856746547858,150.0
4,WS10M,idw_residual,81782,-0.13060077990299213,1.2552519756734748,1.8269868543510668,0.386601358900827,-0.011627292233527875,150.0
5,WS10M,idw_residual,81328,-0.03451008799491134,1.6223180248288116,2.4270206291585343,0.3369422209711232,-0.0016202333343249276,150.0
1,WS10M,idw_residual,81816,0.21335881514280167,1.2504227247137412,1.789248299679154,0.5506527525021769,0.14210989445647004,200.0
2,WS10M,idw_residual,81816,-0.007574988180943022,1.0839712771927215,1.5421760035993837,0.5733831928787272,0.2290465310972487,200.0
3,WS10M,idw_residual,81782,-0.05102312353258292,1.697786347128393,2.459271587116133,0.34080931132942355,-0.15857150542060783,200.0
4,WS10M,idw_residual,81782,-0.13662682321952882,1.253116936022392,1.8232444002525725,0.3877878760997029,-0.0074870423443433864,200.0
5,WS10M,idw_residual,81328,-0.05169258300621896,1.6062166010330718,2.4102232944831496,0.34178486478338455,0.012196154527885583,200.0
