fold,variable,model,n,bias,mae,rmse,pearson_r,nse,wet_accuracy,pod,far,csi,frequency_bias,wet_amount_rmse
1,T2M,raw_nasa,58630,-0.6271323554494286,1.8510552618113594,2.3514249993452108,0.9170584695024426,0.8166992404091253,,,,,,
1,T2M,anchor_idw_bmd,58494,-0.11190985569116915,0.8886814993656232,1.2990640442575574,0.9719509108621665,0.9440335453985262,,,,,,
1,T2M,global_month_hour_bias,58630,-0.1464348204556032,1.509683673715517,1.9977356883762092,0.93337798162072,0.86769445118424,,,,,,
1,T2M,idw_residual,58630,-0.11556418260370009,1.0085669279726541,1.4364808041000179,0.9654459884187213,0.9315928249569445,,,,,,
1,T2M,linear_stack,58630,-0.4710333770966379,1.016143014476625,1.4267524835518997,0.9699078334035488,0.9325162392852456,,,,,,
1,T2M,ml_regressor,58630,-0.44099520183511165,1.014824242443983,1.4249951577102908,0.9693602927823595,0.9326823759122141,,,,,,
2,T2M,raw_nasa,58198,-0.46817175847967285,1.5923918347709545,2.029837670967825,0.9253949745755079,0.8455453273874378,,,,,,
2,T2M,anchor_idw_bmd,58175,0.039325573010381226,0.7934050338915325,1.153068136504688,0.9750760018934495,0.9501601300351131,,,,,,
2,T2M,global_month_hour_bias,58198,0.055707312807233705,1.3886768281044533,1.814377436984179,0.9363474897275734,0.8765947296042016,,,,,,
2,T2M,idw_residual,58198,0.0836496104039369,0.8892669450690793,1.2438413840612763,0.9708298088909797,0.9420026114031637,,,,,,
2,T2M,linear_stack,58198,-0.04942532194244534,0.7841559278051617,1.135425111689618,0.9759491860106316,0.9516723780790685,,,,,,
2,T2M,ml_regressor,58198,0.06695596956236785,0.81700060496207,1.1671257671821502,0.9742312996877953,0.9489361272076376,,,,,,
3,T2M,raw_nasa,53416,-0.2543831436273776,1.8119295716639205,2.337404273351643,0.9168735754663949,0.8303744400493285,,,,,,
3,T2M,anchor_idw_bmd,53273,0.19997451160560448,0.8449163031713313,1.1836760871383878,0.9791252845891243,0.9565053449908905,,,,,,
3,T2M,global_month_hour_bias,53416,0.32063411388203295,1.632334277565677,2.146461711950788,0.9282277023314699,0.8569559100725332,,,,,,
3,T2M,idw_residual,53416,0.21015160074154343,1.1238478946199058,1.5643128613591342,0.9622480093209601,0.9240249737410802,,,,,,
