station_id,threshold_mm,hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,accuracy
ambagan_ctg,0.1,1408,7,4702,5571,0.995053003533569,0.7695581014729951,0.23017819192414582,4.318021201413427,0.5971081451060917
ambagan_ctg,5.0,447,64,3123,8054,0.8747553816046967,0.8747899159663866,0.12300495321959273,6.986301369863014,0.7273271731690623
ambagan_ctg,10.0,267,63,2350,9008,0.8090909090909091,0.8979747802827666,0.09962686567164179,7.930303030303031,0.79354893908282
ambagan_ctg,25.0,69,38,1215,10366,0.6448598130841121,0.9462616822429907,0.05219364599092285,12.0,0.8927960301163587
barisal,0.1,1296,20,4997,5375,0.9848024316109423,0.794056888606388,0.20529067004593696,4.781914893617022,0.5707563312799453
barisal,5.0,347,63,3128,8150,0.8463414634146341,0.9001438848920863,0.09807801017524025,8.475609756097562,0.7269849418206707
barisal,10.0,190,47,2167,9284,0.8016877637130801,0.9193890538820535,0.07903494176372712,9.945147679324894,0.8105749486652978
barisal,25.0,48,32,961,10647,0.6,0.9524281466798811,0.04610951008645533,12.6125,0.9150410677618069
bhola,0.1,1398,20,5265,5005,0.9858956276445698,0.7901846015308419,0.20918749064791262,4.698871650211566,0.5478268309377139
bhola,5.0,411,42,3390,7845,0.9072847682119205,0.8918705603788477,0.10694769711163153,8.390728476821192,0.7063655030800822
bhola,10.0,220,43,2495,8930,0.8365019011406845,0.9189686924493554,0.07976794778825236,10.32319391634981,0.7828542094455853
bhola,25.0,56,18,1164,10450,0.7567567567567568,0.9540983606557377,0.045234248788368334,16.486486486486488,0.898870636550308
bogra,0.1,875,29,4853,5931,0.9679203539823009,0.8472416201117319,0.1519888830988362,6.336283185840708,0.5823066392881588
bogra,5.0,270,68,2606,8744,0.7988165680473372,0.9061196105702365,0.09171195652173914,8.50887573964497,0.7712183436002737
bogra,10.0,134,65,1780,9709,0.6733668341708543,0.9299895506792059,0.06771096513390601,9.618090452261306,0.8421457905544147
bogra,25.0,33,31,770,10854,0.515625,0.958904109589041,0.039568345323741004,12.546875,0.9314681724845996
chandpur,0.1,1035,24,5345,5284,0.9773371104815864,0.8377742946708464,0.16161773891317927,6.024551463644948,0.5406399726214921
