station_id,scale,variable,label,unit,n,bmd_mean,nasa_mean,bias,mae,rmse,ubrmse,pearson_r,r2,nse,kge,pbias_percent,std_ratio
ambagan_ctg,3hour,T2M,Temperature at 2 m,deg C,11688,26.638800479123887,25.66800678758841,-0.9707936915354783,1.8248873488478214,2.2649683698211356,2.0463727238128278,0.9051609892166484,0.8193164163996616,0.7564881841697433,0.8909297222057305,-3.6442845551407737,1.0396712306321683
ambagan_ctg,3hour,RH2M,Relative humidity at 2 m,%,11688,79.33778234086242,78.93151009582476,-0.40627224503764564,9.210185090120923,11.890492984455163,11.883550238724515,0.7379654565139752,0.5445930150078797,0.5166043244474251,0.7207378181675785,-0.5120791545346708,0.9035684609900678
ambagan_ctg,3hour,PRECTOTCORR,Precipitation,mm / 3h,11688,0.9054928131416837,28.11547142368241,27.20997861054073,27.347870465434635,73.2774071704031,68.03819122838995,0.36920756561052637,0.13631422650405114,-238.70536765020972,-32.03763025689232,3004.991118166185,14.714589015718923
ambagan_ctg,3hour,WS10M,Wind speed at 10 m,m/s,11688,1.6429671457905544,3.0356895961670087,1.3927224503764544,1.9526078028747436,2.379390017478044,1.9292021748618184,0.45032689118739055,0.20279430892649988,-0.3214994225324499,-0.04897867670352474,84.76873405197105,0.7177910165328194
barisal,3hour,T2M,Temperature at 2 m,deg C,11688,25.903422313483915,25.638829568788502,-0.26459274469541455,1.739670317134383,2.2207267710857335,2.2049077239810777,0.9188416536054507,0.844269984400399,0.8415250591684993,0.8991992096417504,-1.0214586377556834,0.9410951243742459
barisal,3hour,RH2M,Relative humidity at 2 m,%,11688,82.79089664613278,79.25650011407711,-3.5343965320556694,10.542311202372806,14.041024373101896,13.588907483688097,0.702696103281312,0.4937818135667404,0.39780412033546264,0.694314983333113,-4.269064202991409,0.9431560777778975
barisal,3hour,PRECTOTCORR,Precipitation,mm / 3h,11688,0.691452772073922,22.798862936344968,22.107410164271045,22.22176505817933,58.93693717927887,54.633551778215455,0.4160809302515466,0.17312334051899236,-224.28269024070866,-33.6332341565072,3197.240803296336,14.299814706722099
barisal,3hour,WS10M,Wind speed at 10 m,m/s,11654,0.6304273210914707,3.0668500085807446,2.4364226874892743,2.5396221612035927,2.8744081040436487,1.5251447264044642,0.4921493978802583,0.2422110298339008,-3.147258294226396,-2.90018542882425,386.47162106982444,1.1322979814880736
bhola,3hour,T2M,Temperature at 2 m,deg C,11688,26.135925735797397,25.80705395847593,-0.32887177732146977,1.7011926762491445,2.1611016226015125,2.1359315478948075,0.9211448723788285,0.8485078759098081,0.8443891215299932,0.8708138047990548,-1.2583130999298275,0.8984489946253609
bhola,3hour,RH2M,Relative humidity at 2 m,%,11688,83.75521902806297,80.09171486424823,-3.6635041638147388,9.808017624914442,13.047200526701534,12.5223072484935,0.7000978059753572,0.4901369379315089,0.3978684626545107,0.6843367702577599,-4.3740607526645565,0.9117463435108337
bhola,3hour,PRECTOTCORR,Precipitation,mm / 3h,11688,0.7501796714579054,27.731129363449693,26.980949691991782,27.039733059548258,71.51102360682843,66.22578690370226,0.38225843467238196,0.1461215108781797,-307.43621377254146,-38.21643315791759,3596.598350839977,16.62034107378583
