station_name,station_id,raw_file,picked_file,average_file,hourly_rows,picked_rows,average_rows,status,message
Dhaka,dhaka,data\raw\nasa_power\dhaka_POWER_Point_Hourly_20210101_20241231_UTC.csv,data\processed\nasa_station_data\3h_picked\dhaka.csv,data\processed\nasa_station_data\3h_average\dhaka.csv,35064,11688,11688,processed,
Tangail,tangail,data\raw\nasa_power\tangail_POWER_Point_Hourly_20210101_20241231_UTC.csv,data\processed\nasa_station_data\3h_picked\tangail.csv,data\processed\nasa_station_data\3h_average\tangail.csv,35064,11688,11688,processed,
Mymensingh,mymensingh,data\raw\nasa_power\mymensingh_POWER_Point_Hourly_20210101_20241231_UTC.csv,data\processed\nasa_station_data\3h_picked\mymensingh.csv,data\processed\nasa_station_data\3h_average\mymensingh.csv,35064,11688,11688,processed,
Faridpur,faridpur,data\raw\nasa_power\faridpur_POWER_Point_Hourly_20210101_20241231_UTC.csv,data\processed\nasa_station_data\3h_picked\faridpur.csv,data\processed\nasa_station_data\3h_average\faridpur.csv,35064,11688,11688,processed,
Madaripur,madaripur,data\raw\nasa_power\madaripur_POWER_Point_Hourly_20210101_20241231_UTC.csv,data\processed\nasa_station_data\3h_picked\madaripur.csv,data\processed\nasa_station_data\3h_average\madaripur.csv,35064,11688,11688,processed,
Srimangal,srimangal,data\raw\nasa_power\srimangal_POWER_Point_Hourly_20210101_20241231_UTC.csv,data\processed\nasa_station_data\3h_picked\srimangal.csv,data\processed\nasa_station_data\3h_average\srimangal.csv,35064,11688,11688,processed,
Sylhet,sylhet,data\raw\nasa_power\sylhet_POWER_Point_Hourly_20210101_20241231_UTC.csv,data\processed\nasa_station_data\3h_picked\sylhet.csv,data\processed\nasa_station_data\3h_average\sylhet.csv,35064,11688,11688,processed,
Bogra,bogra,data\raw\nasa_power\bogra_POWER_Point_Hourly_20210101_20241231_UTC.csv,data\processed\nasa_station_data\3h_picked\bogra.csv,data\processed\nasa_station_data\3h_average\bogra.csv,35064,11688,11688,processed,
Dinajpur,dinajpur,data\raw\nasa_power\dinajpur_POWER_Point_Hourly_20210101_20241231_UTC.csv,data\processed\nasa_station_data\3h_picked\dinajpur.csv,data\processed\nasa_station_data\3h_average\dinajpur.csv,35064,11688,11688,processed,
Ishurdi,ishurdi,data\raw\nasa_power\ishurdi_POWER_Point_Hourly_20210101_20241231_UTC.csv,data\processed\nasa_station_data\3h_picked\ishurdi.csv,data\processed\nasa_station_data\3h_average\ishurdi.csv,35064,11688,11688,processed,
