station_name,station_id,latitude,longitude,output_file,status,data_rows,columns,message
Dhaka,dhaka,23.766667,90.383333,data\raw\nasa_power\dhaka_POWER_Point_Hourly_20210101_20241231_UTC.csv,skipped_existing,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
Tangail,tangail,24.25,89.916667,data\raw\nasa_power\tangail_POWER_Point_Hourly_20210101_20241231_UTC.csv,downloaded,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
Mymensingh,mymensingh,24.716667,90.433333,data\raw\nasa_power\mymensingh_POWER_Point_Hourly_20210101_20241231_UTC.csv,downloaded,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
Faridpur,faridpur,23.6,89.85,data\raw\nasa_power\faridpur_POWER_Point_Hourly_20210101_20241231_UTC.csv,downloaded,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
Madaripur,madaripur,23.166667,90.183333,data\raw\nasa_power\madaripur_POWER_Point_Hourly_20210101_20241231_UTC.csv,downloaded,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
Srimangal,srimangal,24.3,91.733333,data\raw\nasa_power\srimangal_POWER_Point_Hourly_20210101_20241231_UTC.csv,downloaded,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
Sylhet,sylhet,24.9,91.883333,data\raw\nasa_power\sylhet_POWER_Point_Hourly_20210101_20241231_UTC.csv,downloaded,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
Bogra,bogra,24.85,89.366667,data\raw\nasa_power\bogra_POWER_Point_Hourly_20210101_20241231_UTC.csv,downloaded,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
Dinajpur,dinajpur,25.65,88.683333,data\raw\nasa_power\dinajpur_POWER_Point_Hourly_20210101_20241231_UTC.csv,downloaded,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
Ishurdi,ishurdi,24.133333,89.05,data\raw\nasa_power\ishurdi_POWER_Point_Hourly_20210101_20241231_UTC.csv,downloaded,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
Rajshahi,rajshahi,24.366667,88.7,data\raw\nasa_power\rajshahi_POWER_Point_Hourly_20210101_20241231_UTC.csv,downloaded,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
Rangpur,rangpur,25.733333,89.233333,data\raw\nasa_power\rangpur_POWER_Point_Hourly_20210101_20241231_UTC.csv,downloaded,35064,"YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M",
