chunk_index,chunks_total,begin_utc,end_utc,state,request_url,output_file,status,synop_rows,bytes,message
1,209,2021-01-01T00:00:00+00:00,2021-01-07T23:59:00+00:00,Bang,https://www.ogimet.com/cgi-bin/getsynop?begin=202101010000&end=202101072359&state=Bang&lang=eng&header=yes,data\raw\ground_ogimet\ogimet_getsynop_Bang_202101010000_202101072359.csv,skipped_existing,2347,236523,
2,209,2021-01-08T00:00:00+00:00,2021-01-14T23:59:00+00:00,Bang,https://www.ogimet.com/cgi-bin/getsynop?begin=202101080000&end=202101142359&state=Bang&lang=eng&header=yes,data\raw\ground_ogimet\ogimet_getsynop_Bang_202101080000_202101142359.csv,skipped_existing,2343,240461,
3,209,2021-01-15T00:00:00+00:00,2021-01-21T23:59:00+00:00,Bang,https://www.ogimet.com/cgi-bin/getsynop?begin=202101150000&end=202101212359&state=Bang&lang=eng&header=yes,data\raw\ground_ogimet\ogimet_getsynop_Bang_202101150000_202101212359.csv,downloaded,2077,216871,
4,209,2021-01-22T00:00:00+00:00,2021-01-28T23:59:00+00:00,Bang,https://www.ogimet.com/cgi-bin/getsynop?begin=202101220000&end=202101282359&state=Bang&lang=eng&header=yes,data\raw\ground_ogimet\ogimet_getsynop_Bang_202101220000_202101282359.csv,downloaded,1751,179952,
5,209,2021-01-29T00:00:00+00:00,2021-02-04T23:59:00+00:00,Bang,https://www.ogimet.com/cgi-bin/getsynop?begin=202101290000&end=202102042359&state=Bang&lang=eng&header=yes,data\raw\ground_ogimet\ogimet_getsynop_Bang_202101290000_202102042359.csv,downloaded,1768,179880,
6,209,2021-02-05T00:00:00+00:00,2021-02-11T23:59:00+00:00,Bang,https://www.ogimet.com/cgi-bin/getsynop?begin=202102050000&end=202102112359&state=Bang&lang=eng&header=yes,data\raw\ground_ogimet\ogimet_getsynop_Bang_202102050000_202102112359.csv,downloaded,1741,176311,
7,209,2021-02-12T00:00:00+00:00,2021-02-18T23:59:00+00:00,Bang,https://www.ogimet.com/cgi-bin/getsynop?begin=202102120000&end=202102182359&state=Bang&lang=eng&header=yes,data\raw\ground_ogimet\ogimet_getsynop_Bang_202102120000_202102182359.csv,downloaded,1772,180397,
8,209,2021-02-19T00:00:00+00:00,2021-02-25T23:59:00+00:00,Bang,https://www.ogimet.com/cgi-bin/getsynop?begin=202102190000&end=202102252359&state=Bang&lang=eng&header=yes,data\raw\ground_ogimet\ogimet_getsynop_Bang_202102190000_202102252359.csv,downloaded,2061,213278,
9,209,2021-02-26T00:00:00+00:00,2021-03-04T23:59:00+00:00,Bang,https://www.ogimet.com/cgi-bin/getsynop?begin=202102260000&end=202103042359&state=Bang&lang=eng&header=yes,data\raw\ground_ogimet\ogimet_getsynop_Bang_202102260000_202103042359.csv,downloaded,2044,211022,
10,209,2021-03-05T00:00:00+00:00,2021-03-11T23:59:00+00:00,Bang,https://www.ogimet.com/cgi-bin/getsynop?begin=202103050000&end=202103112359&state=Bang&lang=eng&header=yes,data\raw\ground_ogimet\ogimet_getsynop_Bang_202103050000_202103112359.csv,downloaded,1724,185185,
