source_file,wmo_stations,decoded_rows,nil_rows,parse_skipped
data\raw\ground_ogimet\ogimet_getsynop_Bang_202101010000_202101072359.csv,43,2313,34,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202101080000_202101142359.csv,43,2302,41,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202101150000_202101212359.csv,43,2056,21,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202101220000_202101282359.csv,33,1744,7,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202101290000_202102042359.csv,33,1759,9,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202102050000_202102112359.csv,33,1733,8,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202102120000_202102182359.csv,33,1766,6,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202102190000_202102252359.csv,43,2039,22,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202102260000_202103042359.csv,43,2024,20,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202103050000_202103112359.csv,33,1710,14,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202103120000_202103182359.csv,33,1731,10,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202103190000_202103252359.csv,33,1677,10,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202103260000_202104012359.csv,33,1705,6,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202104020000_202104082359.csv,33,1612,9,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202104090000_202104152359.csv,33,1589,5,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202104160000_202104222359.csv,34,1626,9,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202104230000_202104292359.csv,33,1583,10,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202104300000_202105062359.csv,33,1637,4,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202105070000_202105132359.csv,33,1613,8,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202105140000_202105202359.csv,33,1666,9,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202105210000_202105272359.csv,33,1202,22,0
