split,variable,horizon_bucket,candidate,n,bias,mae,rmse,pearson_r,brier,pod,far,csi,wet_amount_rmse
spatial_temporal_test_2024,T2M,0-24,chronos-2_plus_month_hour_bias,1124,-0.15430424147229196,1.6783790028731593,2.2511839717890427,0.9262093958272261,,,,,
spatial_temporal_test_2024,T2M,0-24,nasa_persistence,1124,-3.5188967971530256,3.93864768683274,5.332263512215151,0.7466415888097498,,,,,
spatial_temporal_test_2024,T2M,0-24,nasa_daily_seasonal,1124,-3.4712811387900353,4.0000177935943055,5.4279393204883855,0.7307041048086738,,,,,
spatial_temporal_test_2024,T2M,27-48,chronos-2_plus_month_hour_bias,843,-0.17991652333722305,1.8780045255703999,2.53860398505706,0.8983613346808977,,,,,
spatial_temporal_test_2024,T2M,27-48,nasa_persistence,843,-4.544519572953736,4.808671411625148,6.106570591509329,0.7271807538920073,,,,,
spatial_temporal_test_2024,T2M,27-48,nasa_daily_seasonal,843,-4.496903914590748,4.82938315539739,6.172353727210377,0.7136571426778021,,,,,
spatial_temporal_test_2024,T2M,51-72,chronos-2_plus_month_hour_bias,564,-0.2937911887202705,1.911738778648647,2.472878306729811,0.9008165143577789,,,,,
spatial_temporal_test_2024,T2M,51-72,nasa_persistence,564,-2.783404255319149,3.1864893617021277,3.980591522028884,0.8624414360971004,,,,,
spatial_temporal_test_2024,T2M,51-72,nasa_daily_seasonal,564,-2.7341843971631206,3.2516312056737586,4.090870175687105,0.8474332361796875,,,,,
spatial_temporal_test_2024,T2M,75-96,chronos-2_plus_month_hour_bias,562,-0.3281946089259249,2.1013870804674686,2.749553984491307,0.8752829480595516,,,,,
spatial_temporal_test_2024,T2M,75-96,nasa_persistence,562,-2.880249110320285,3.3916014234875447,4.210238664083181,0.8394958664323874,,,,,
spatial_temporal_test_2024,T2M,75-96,nasa_daily_seasonal,562,-2.8344483985765123,3.435658362989324,4.306935191912105,0.8261680041680917,,,,,
spatial_temporal_test_2024,RH2M,0-24,chronos-2_plus_month_hour_bias,1140,0.35291246481109084,8.831755393647311,12.571747667867777,0.7446795209494608,,,,,
spatial_temporal_test_2024,RH2M,0-24,nasa_persistence,1140,8.618771929824561,14.998894736842104,20.73139158843377,0.2887833530099133,,,,,
spatial_temporal_test_2024,RH2M,0-24,nasa_daily_seasonal,1140,8.370947368421053,15.085929824561402,20.767884374762605,0.26319813649360424,,,,,
spatial_temporal_test_2024,RH2M,27-48,chronos-2_plus_month_hour_bias,855,0.9884779924537695,10.525747259218093,14.231011767605144,0.6875304512364121,,,,,
spatial_temporal_test_2024,RH2M,27-48,nasa_persistence,855,12.900350877192981,18.0713216374269,23.60906421234133,0.2560293926795932,,,,,
spatial_temporal_test_2024,RH2M,27-48,nasa_daily_seasonal,855,12.652526315789473,17.907052631578946,23.437400218579022,0.2466968111036473,,,,,
spatial_temporal_test_2024,RH2M,51-72,chronos-2_plus_month_hour_bias,570,0.8287749040837861,9.22355179087321,13.043744901996996,0.4384856400418266,,,,,
spatial_temporal_test_2024,RH2M,51-72,nasa_persistence,570,5.228421052631578,12.398105263157895,16.70011400318268,0.24086506926250378,,,,,
spatial_temporal_test_2024,RH2M,51-72,nasa_daily_seasonal,570,4.98059649122807,12.295263157894738,16.5413470356675,0.22642624475427692,,,,,
spatial_temporal_test_2024,RH2M,75-96,chronos-2_plus_month_hour_bias,570,0.9324110590616851,9.272106758653074,12.819139836099271,0.45347371094535144,,,,,
spatial_temporal_test_2024,RH2M,75-96,nasa_persistence,570,5.600350877192982,12.744526315789475,16.876841310848988,0.23112846689693536,,,,,
spatial_temporal_test_2024,RH2M,75-96,nasa_daily_seasonal,570,5.352526315789474,12.229543859649123,16.428524199343684,0.24588598688166602,,,,,
spatial_temporal_test_2024,PRECTOTCORR,0-24,chronos-2_plus_month_hour_bias,1109,4.432497970130231,5.342362011688265,13.048662616255447,0.20693726558637088,0.41568981064021643,0.7899159663865546,0.8226415094339623,0.16936936936936936,26.926959973244525
spatial_temporal_test_2024,PRECTOTCORR,0-24,nasa_persistence,1109,9.442903516681696,9.96741208295762,20.375028971528412,0.19300385436945022,0.5293056807935077,1.0,0.8314447592067988,0.16855524079320114,33.601808724826576
spatial_temporal_test_2024,PRECTOTCORR,0-24,nasa_daily_seasonal,1109,12.663444544634807,13.424220018034264,35.0747512994685,0.13775340326826085,0.5229936880072137,0.9663865546218487,0.8335745296671491,0.16546762589928057,71.2441556779282
spatial_temporal_test_2024,PRECTOTCORR,27-48,chronos-2_plus_month_hour_bias,843,3.1951275398892443,4.4341699994699235,10.362960043929805,0.0646112908792421,0.46856465005931197,0.5670103092783505,0.8651960784313726,0.12222222222222222,16.57353379942873
spatial_temporal_test_2024,PRECTOTCORR,27-48,nasa_persistence,843,9.517271648873074,10.294994068801898,20.88923318621217,0.09238720295297564,0.5326215895610913,0.9484536082474226,0.8283582089552238,0.17005545286506468,26.43941415107706
spatial_temporal_test_2024,PRECTOTCORR,27-48,nasa_daily_seasonal,843,12.835266903914592,13.507580071174376,35.60950076983817,0.07334471187134922,0.5231316725978647,0.9278350515463918,0.8282442748091603,0.1694915254237288,21.73063224523801
spatial_temporal_test_2024,PRECTOTCORR,51-72,chronos-2_plus_month_hour_bias,577,2.284005529132625,3.89762612114746,9.159065210737554,0.1332109004801262,0.4124783362218371,0.6153846153846154,0.8125,0.16783216783216784,19.949348266693704
spatial_temporal_test_2024,PRECTOTCORR,51-72,nasa_persistence,577,9.267140381282495,10.106135181975736,20.661223654750263,0.14377165621642224,0.512998266897747,0.9487179487179487,0.7978142076502732,0.2,24.127325514579656
