split,variable,horizon_bucket,candidate,n,bias,mae,rmse,pearson_r,brier,pod,far,csi,wet_amount_rmse,interval_coverage_90,weighted_interval_score
validation_2023,T2M,0-24,hist_gradient_direct,12740,-0.02773220763098363,1.3480197555060136,1.787537760502263,0.9432139195506276,,,,,,0.8998430141287285,0.6954206398800046
validation_2023,T2M,0-24,nasa_daily_seasonal,12740,-3.3951962323390896,3.9822731554160127,5.284790088493095,0.7253240138828121,,,,,,,
validation_2023,T2M,27-48,hist_gradient_direct,7644,-0.11970918617151804,1.5498778426839523,2.030259256583636,0.9250167265436948,,,,,,0.8995290423861853,0.7914013120453556
validation_2023,T2M,27-48,nasa_daily_seasonal,7644,-4.3231004709576135,4.84803244374673,6.206728215727165,0.665072252379437,,,,,,,
validation_2023,T2M,51-72,hist_gradient_direct,5124,-0.10049040361057676,1.570208954728633,2.0725000922964893,0.9372940072906718,,,,,,0.899687743950039,0.8099969897145775
validation_2023,T2M,51-72,nasa_daily_seasonal,5124,-3.8981303669008587,4.6530249804839965,6.221733178083595,0.6450154768853862,,,,,,,
validation_2023,T2M,75-96,hist_gradient_direct,5124,-0.053438733293072534,1.6701787832720865,2.191401748236147,0.9272602383820537,,,,,,0.8992974238875878,0.8658668795464772
validation_2023,T2M,75-96,nasa_daily_seasonal,5124,-3.863942232630757,4.701752537080407,6.290081240655921,0.6224911237973619,,,,,,,
spatial_temporal_test_2024,T2M,0-24,hist_gradient_direct,2842,-0.49436561037752474,1.5115370474997967,1.990519535796515,0.9401091016639493,,,,,,0.8539760731878958,0.7990023118324162
spatial_temporal_test_2024,T2M,0-24,nasa_persistence,2842,-3.745024630541872,4.182273047149895,5.398989108340327,0.7846214048468033,,,,,,,
spatial_temporal_test_2024,T2M,27-48,hist_gradient_direct,1709,-0.4337078463179008,1.6809804032176667,2.161660301764803,0.9250899967956391,,,,,,0.8695143358689292,0.864372545771593
spatial_temporal_test_2024,T2M,27-48,nasa_persistence,1709,-4.5403686366296085,4.924733762434172,6.217850334742267,0.7404004358713092,,,,,,,
spatial_temporal_test_2024,T2M,51-72,hist_gradient_direct,1137,-0.4149736478359929,1.694879995144398,2.2169572285507613,0.9298779058028165,,,,,,0.862796833773087,0.8865603195330924
spatial_temporal_test_2024,T2M,51-72,nasa_persistence,1137,-4.109146877748461,4.7704133685136325,6.275150178484415,0.6879408724787354,,,,,,,
